key	ctn	file_new	file_orig	invasion_veena	k14_veena	orgnum
CTN001_Tumor_Day6_01	CTN001	CTN001_Day6_01.tif	CTN001_Day6_B1-015_AB01_01.zvi.tif	0	1	01
CTN001_Tumor_Day6_02	CTN001	CTN001_Day6_02.tif	CTN001_Day6_B1-015_AB01_02.zvi.tif	0	1	02
CTN001_Tumor_Day6_03	CTN001	CTN001_Day6_03.tif	CTN001_Day6_B1-015_AB01_03.zvi.tif	0	3	03
CTN001_Tumor_Day6_04	CTN001	CTN001_Day6_04.tif	CTN001_Day6_B1-015_AB01_04.zvi.tif	0	2	04
CTN001_Tumor_Day6_05	CTN001	CTN001_Day6_05.tif	CTN001_Day6_B1-015_AB01_05.zvi.tif	0	1	05
CTN001_Tumor_Day6_06	CTN001	CTN001_Day6_06.tif	CTN001_Day6_B1-015_AB01_06.zvi.tif	0	0	06
CTN001_Tumor_Day6_07	CTN001	CTN001_Day6_07.tif	CTN001_Day6_B1-015_AB01_07.zvi.tif	0	1	07
CTN001_Tumor_Day6_08	CTN001	CTN001_Day6_08.tif	CTN001_Day6_B1-015_AB01_08.zvi.tif	0	1	08
CTN001_Tumor_Day6_09	CTN001	CTN001_Day6_09.tif	CTN001_Day6_B3-016_AB03_01.zvi.tif	0	1	09
CTN001_Tumor_Day6_10	CTN001	CTN001_Day6_10.tif	CTN001_Day6_B3-016_AB03_02.zvi.tif	0	1	10
CTN002_Tumor_Day6_01	CTN002	CTN002_Day6_01.tif	CTN002_Day6_B1-018_AB01_01.zvi.tif	3	3	01
CTN002_Tumor_Day6_02	CTN002	CTN002_Day6_02.tif	CTN002_Day6_B1-018_AB01_02.zvi.tif	2	2	02
CTN002_Tumor_Day6_03	CTN002	CTN002_Day6_03.tif	CTN002_Day6_B1-018_AB01_03.zvi.tif	2	3	03
CTN002_Tumor_Day6_04	CTN002	CTN002_Day6_04.tif	CTN002_Day6_B1-018_AB01_04.zvi.tif	0	3	04
CTN002_Tumor_Day6_05	CTN002	CTN002_Day6_05.tif	CTN002_Day6_B1-018_AB01_05.zvi.tif	0	2	05
CTN002_Tumor_Day6_06	CTN002	CTN002_Day6_06.tif	CTN002_Day6_B1-018_AB01_06.zvi.tif	2	3	06
CTN002_Tumor_Day6_07	CTN002	CTN002_Day6_07.tif	CTN002_Day6_B1-018_AB01_07.zvi.tif	1	2	07
CTN002_Tumor_Day6_08	CTN002	CTN002_Day6_08.tif	CTN002_Day6_B1-018_AB01_08.zvi.tif	1	2	08
CTN002_Tumor_Day6_09	CTN002	CTN002_Day6_09.tif	CTN002_Day6_B1-018_AB01_09.zvi.tif	3	3	09
CTN002_Tumor_Day6_10	CTN002	CTN002_Day6_10.tif	CTN002_Day6_B1-018_AB01_10.zvi.tif	0	2	10
CTN002_Tumor_Day6_11	CTN002	CTN002_Day6_11.tif	CTN002_Day6_B1-018_AB01_11.zvi.tif	0	2	11
CTN002_Tumor_Day6_12	CTN002	CTN002_Day6_12.tif	CTN002_Day6_B1-018_AB01_12.zvi.tif	3	2	12
CTN002_Tumor_Day6_13	CTN002	CTN002_Day6_13.tif	CTN002_Day6_B3-017_AB03_01.zvi.tif	1	2	13
CTN002_Tumor_Day6_14	CTN002	CTN002_Day6_14.tif	CTN002_Day6_B3-017_AB03_02.zvi.tif	0	2	14
CTN002_Tumor_Day6_15	CTN002	CTN002_Day6_15.tif	CTN002_Day6_B3-017_AB03_03.zvi.tif	0	2	15
CTN002_Tumor_Day6_16	CTN002	CTN002_Day6_16.tif	CTN002_Day6_B3-017_AB03_04.zvi.tif	0	2	16
CTN002_Tumor_Day6_17	CTN002	CTN002_Day6_17.tif	CTN002_Day6_B3-017_AB03_05.zvi.tif	1	2	17
CTN002_Tumor_Day6_18	CTN002	CTN002_Day6_18.tif	CTN002_Day6_B3-017_AB03_06.zvi.tif	0	2	18
CTN002_Tumor_Day6_19	CTN002	CTN002_Day6_19.tif	CTN002_Day6_B3-017_AB03_07.zvi.tif	1	2	19
CTN002_Tumor_Day6_20	CTN002	CTN002_Day6_20.tif	CTN002_Day6_B3-017_AB03_08.zvi.tif	0	1	20
CTN002_Tumor_Day6_21	CTN002	CTN002_Day6_21.tif	CTN002_Day6_B3-017_AB03_09.zvi.tif	0	2	21
CTN002_Tumor_Day6_22	CTN002	CTN002_Day6_22.tif	CTN002_Day6_B3-017_AB03_10.zvi.tif	1	2	22
CTN002_Tumor_Day6_23	CTN002	CTN002_Day6_23.tif	CTN002_Day6_B3-017_AB03_11.zvi.tif	0	2	23
CTN002_Tumor_Day6_24	CTN002	CTN002_Day6_24.tif	CTN002_Day6_B3-017_AB03_12.zvi.tif	1	2	24
CTN002_Tumor_Day6_25	CTN002	CTN002_Day6_25.tif	CTN002_Day6_B3-017_AB03_13.zvi.tif	0	2	25
CTN002_Tumor_Day6_26	CTN002	CTN002_Day6_26.tif	CTN002_Day6_B3-017_AB03_14.zvi.tif	0	2	26
CTN004_Tumor_Day6_01	CTN004	CTN004_Day6_01.tif	CTN004_Day6-013_Position(173).zvi.tif	3	2	01
CTN004_Tumor_Day6_02	CTN004	CTN004_Day6_02.tif	CTN004_Day6-013_Position(174).zvi.tif	3	3	02
CTN004_Tumor_Day6_03	CTN004	CTN004_Day6_03.tif	CTN004_Day6-013_Position(175).zvi.tif	3	3	03
CTN004_Tumor_Day6_04	CTN004	CTN004_Day6_04.tif	CTN004_Day6-013_Position(176).zvi.tif	1	2	04
CTN004_Tumor_Day6_05	CTN004	CTN004_Day6_05.tif	CTN004_Day6-013_Position(177).zvi.tif	0	2	05
CTN004_Tumor_Day6_06	CTN004	CTN004_Day6_06.tif	CTN004_Day6-013_Position(178).zvi.tif	2	3	06
CTN004_Tumor_Day6_07	CTN004	CTN004_Day6_07.tif	CTN004_Day6-013_Position(179).zvi.tif	0	3	07
CTN005_Tumor_Day6_01	CTN005	CTN005_Day6_01.tif	CTN05_Day6-008_AB02_01.zvi.tif	3	3	01
CTN005_Tumor_Day6_02	CTN005	CTN005_Day6_02.tif	CTN05_Day6-008_AB02_02.zvi.tif	0	1	02
CTN005_Tumor_Day6_03	CTN005	CTN005_Day6_03.tif	CTN05_Day6-008_AB02_03.zvi.tif	0	2	03
CTN005_Tumor_Day6_04	CTN005	CTN005_Day6_04.tif	CTN05_Day6-008_AB02_04.zvi.tif	1	2	04
CTN005_Tumor_Day6_05	CTN005	CTN005_Day6_05.tif	CTN05_Day6-008_AB02_05.zvi.tif	0	2	05
CTN005_Tumor_Day6_06	CTN005	CTN005_Day6_06.tif	CTN05_Day6-008_AB02_06.zvi.tif	2	2	06
CTN005_Tumor_Day6_07	CTN005	CTN005_Day6_07.tif	CTN05_Day6-008_AB02_07.zvi.tif	0	1	07
CTN007_Tumor_Day6_01	CTN007	CTN007_Day6_01.tif	CTN007_Day6-002_AB03_01.zvi.tif	0	1	01
CTN007_Tumor_Day6_02	CTN007	CTN007_Day6_02.tif	CTN007_Day6-002_AB03_02.zvi.tif	0	1	02
CTN007_Tumor_Day6_03	CTN007	CTN007_Day6_03.tif	CTN007_Day6-002_AB03_03.zvi.tif	3	1	03
CTN007_Tumor_Day6_04	CTN007	CTN007_Day6_04.tif	CTN007_Day6-002_AB03_04.zvi.tif	1	0	04
CTN007_Tumor_Day6_05	CTN007	CTN007_Day6_05.tif	CTN007_Day6-002_AB03_05.zvi.tif	0	0	05
CTN007_Tumor_Day6_06	CTN007	CTN007_Day6_06.tif	CTN007_Day6-002_AB03_06.zvi.tif	2	0	06
CTN007_Tumor_Day6_07	CTN007	CTN007_Day6_07.tif	CTN007_Day6-002_AB03_07.zvi.tif	0	0	07
CTN007_Tumor_Day6_08	CTN007	CTN007_Day6_08.tif	CTN007_Day6-002_AB03_08.zvi.tif	0	0	08
CTN009_Tumor_Day6_01	CTN009	CTN009_Day6_01.tif	CTN009_Day6-002_Position(46).zvi.tif	1	3	01
CTN009_Tumor_Day6_02	CTN009	CTN009_Day6_02.tif	CTN009_Day6-002_Position(47).zvi.tif	1	2	02
CTN009_Tumor_Day6_03	CTN009	CTN009_Day6_03.tif	CTN009_Day6-002_Position(48).zvi.tif	0	3	03
CTN009_Tumor_Day6_04	CTN009	CTN009_Day6_04.tif	CTN009_Day6-002_Position(49).zvi.tif	0	3	04
CTN009_Tumor_Day6_05	CTN009	CTN009_Day6_05.tif	CTN009_Day6-002_Position(50).zvi.tif	0	3	05
CTN009_Tumor_Day6_06	CTN009	CTN009_Day6_06.tif	CTN009_Day6-002_Position(51).zvi.tif	0	3	06
CTN009_Tumor_Day6_07	CTN009	CTN009_Day6_07.tif	CTN009_Day6-002_Position(52).zvi.tif	0	3	07
CTN009_Tumor_Day6_08	CTN009	CTN009_Day6_08.tif	CTN009_Day6-002_Position(53).zvi.tif	1	2	08
CTN009_Tumor_Day6_09	CTN009	CTN009_Day6_09.tif	CTN009_Day6-002_Position(54).zvi.tif	0	3	09
