   lines   words   chars filename
     287     574    2296 CTN001_Tumor_Day6_01_xy.txt
     283     566    2264 CTN001_Tumor_Day6_02_xy.txt
     681    1362    5448 CTN001_Tumor_Day6_03_xy.txt
     454     908    3632 CTN001_Tumor_Day6_04_xy.txt
     498     996    3984 CTN001_Tumor_Day6_05_xy.txt
     293     586    2344 CTN001_Tumor_Day6_06_xy.txt
     716    1432    5728 CTN001_Tumor_Day6_07_xy.txt
     464     928    3712 CTN001_Tumor_Day6_08_xy.txt
     835    1670    6680 CTN001_Tumor_Day6_09_xy.txt
     307     614    2456 CTN001_Tumor_Day6_10_xy.txt
    1285    2570   10268 CTN002_Tumor_Day6_01_xy.txt
     335     670    2680 CTN002_Tumor_Day6_02_xy.txt
     568    1136    4564 CTN002_Tumor_Day6_03_xy.txt
     239     478    1912 CTN002_Tumor_Day6_04_xy.txt
     372     744    2976 CTN002_Tumor_Day6_05_xy.txt
    1363    2726   10904 CTN002_Tumor_Day6_06_xy.txt
     548    1096    4384 CTN002_Tumor_Day6_07_xy.txt
     389     778    3112 CTN002_Tumor_Day6_08_xy.txt
    3023    6046   24856 CTN002_Tumor_Day6_09_xy.txt
     477     954    3816 CTN002_Tumor_Day6_10_xy.txt
     729    1458    5832 CTN002_Tumor_Day6_11_xy.txt
     587    1174    4696 CTN002_Tumor_Day6_12_xy.txt
     728    1456    5824 CTN002_Tumor_Day6_13_xy.txt
     761    1522    6088 CTN002_Tumor_Day6_14_xy.txt
     673    1346    5384 CTN002_Tumor_Day6_15_xy.txt
     484     968    3872 CTN002_Tumor_Day6_16_xy.txt
     669    1338    5352 CTN002_Tumor_Day6_17_xy.txt
     215     430    1720 CTN002_Tumor_Day6_18_xy.txt
     580    1160    4640 CTN002_Tumor_Day6_19_xy.txt
     671    1342    5368 CTN002_Tumor_Day6_20_xy.txt
     592    1184    4736 CTN002_Tumor_Day6_21_xy.txt
     468     936    3744 CTN002_Tumor_Day6_22_xy.txt
     386     772    3088 CTN002_Tumor_Day6_23_xy.txt
     559    1118    4472 CTN002_Tumor_Day6_24_xy.txt
     425     850    3400 CTN002_Tumor_Day6_25_xy.txt
     202     404    1616 CTN002_Tumor_Day6_26_xy.txt
    1339    2678   10870 CTN004_Tumor_Day6_01_xy.txt
    2222    4444   17941 CTN004_Tumor_Day6_02_xy.txt
    1484    2968   12011 CTN004_Tumor_Day6_03_xy.txt
     441     882    3528 CTN004_Tumor_Day6_04_xy.txt
     238     476    1904 CTN004_Tumor_Day6_05_xy.txt
     383     766    3064 CTN004_Tumor_Day6_06_xy.txt
     321     642    2568 CTN004_Tumor_Day6_07_xy.txt
    1575    3150   12739 CTN005_Tumor_Day6_01_xy.txt
     291     582    2328 CTN005_Tumor_Day6_02_xy.txt
     383     766    3064 CTN005_Tumor_Day6_03_xy.txt
     591    1182    4728 CTN005_Tumor_Day6_04_xy.txt
     614    1228    4912 CTN005_Tumor_Day6_05_xy.txt
    2240    4480   18261 CTN005_Tumor_Day6_06_xy.txt
    1357    2714   10902 CTN005_Tumor_Day6_07_xy.txt
     201     402    1608 CTN007_Tumor_Day6_01_xy.txt
    1010    2020    8216 CTN007_Tumor_Day6_02_xy.txt
    1676    3352   13475 CTN007_Tumor_Day6_03_xy.txt
     350     700    2800 CTN007_Tumor_Day6_04_xy.txt
     154     308    1232 CTN007_Tumor_Day6_05_xy.txt
     443     886    3544 CTN007_Tumor_Day6_06_xy.txt
     401     802    3208 CTN007_Tumor_Day6_07_xy.txt
     288     576    2304 CTN007_Tumor_Day6_08_xy.txt
     634    1268    5072 CTN009_Tumor_Day6_01_xy.txt
     923    1846    7611 CTN009_Tumor_Day6_02_xy.txt
     157     314    1256 CTN009_Tumor_Day6_03_xy.txt
     348     696    2784 CTN009_Tumor_Day6_04_xy.txt
     203     406    1624 CTN009_Tumor_Day6_05_xy.txt
     403     806    3224 CTN009_Tumor_Day6_06_xy.txt
     227     454    1816 CTN009_Tumor_Day6_07_xy.txt
     688    1376    5504 CTN009_Tumor_Day6_08_xy.txt
     129     258    1032 CTN009_Tumor_Day6_09_xy.txt
     154     308    1232 CTN009_Tumor_Day6_10_xy.txt
     245     490    1960 CTN009_Tumor_Day6_11_xy.txt
     237     474    1896 CTN009_Tumor_Day6_12_xy.txt
     328     656    2624 CTN009_Tumor_Day6_13_xy.txt
     404     808    3232 CTN009_Tumor_Day6_14_xy.txt
     460     920    3680 CTN009_Tumor_Day6_15_xy.txt
     495     990    3960 CTN009_Tumor_Day6_16_xy.txt
     243     486    1944 CTN009_Tumor_Day6_17_xy.txt
     592    1184    4736 CTN009_Tumor_Day6_18_xy.txt
     300     600    2400 CTN009_Tumor_Day6_19_xy.txt
    1075    2150    8723 CTN009_Tumor_Day6_20_xy.txt
