orig	new
CTN001_Day6_B1-015_AB01_01.zvi.tif	CTN001_Day6_01.tif
CTN001_Day6_B1-015_AB01_02.zvi.tif	CTN001_Day6_02.tif
CTN001_Day6_B1-015_AB01_03.zvi.tif	CTN001_Day6_03.tif
CTN001_Day6_B1-015_AB01_04.zvi.tif	CTN001_Day6_04.tif
CTN001_Day6_B1-015_AB01_05.zvi.tif	CTN001_Day6_05.tif
CTN001_Day6_B1-015_AB01_06.zvi.tif	CTN001_Day6_06.tif
CTN001_Day6_B1-015_AB01_07.zvi.tif	CTN001_Day6_07.tif
CTN001_Day6_B1-015_AB01_08.zvi.tif	CTN001_Day6_08.tif
CTN001_Day6_B3-016_AB03_01.zvi.tif	CTN001_Day6_09.tif
CTN001_Day6_B3-016_AB03_02.zvi.tif	CTN001_Day6_10.tif
CTN0015_Day6-001_Position(15).zvi.tif	CTN015_Day6_01.tif
CTN0015_Day6-001_Position(16).zvi.tif	CTN015_Day6_02.tif
CTN0015_Day6-001_Position(17).zvi.tif	CTN015_Day6_03.tif
CTN0015_Day6-001_Position(18).zvi.tif	CTN015_Day6_04.tif
CTN0015_Day6-001_Position(19).zvi.tif	CTN015_Day6_05.tif
CTN0015_Day6-001_Position(20).zvi.tif	CTN015_Day6_06.tif
CTN0015_Day6-001_Position(21).zvi.tif	CTN015_Day6_07.tif
CTN0015_Day6-001_Position(22).zvi.tif	CTN015_Day6_08.tif
CTN0015_Day6-001_Position(23).zvi.tif	CTN015_Day6_09.tif
CTN0015_Day6-001_Position(24).zvi.tif	CTN015_Day6_10.tif
CTN0015_Day6-001_Position(25).zvi.tif	CTN015_Day6_11.tif
CTN0015_Day6-001_Position(26).zvi.tif	CTN015_Day6_12.tif
CTN0015_Day6-001_Position(27).zvi.tif	CTN015_Day6_13.tif
CTN0015_Day6-001_Position(28).zvi.tif	CTN015_Day6_14.tif
CTN0015_Day6-001_Position(29).zvi.tif	CTN015_Day6_15.tif
CTN0015_Day6-001_Position(30).zvi.tif	CTN015_Day6_16.tif
CTN0015_Day6-001_Position(31).zvi.tif	CTN015_Day6_17.tif
CTN0015_Day6-001_Position(32).zvi.tif	CTN015_Day6_18.tif
CTN0015_Day6-001_Position(33).zvi.tif	CTN015_Day6_19.tif
CTN0015_Day6-001_Position(34).zvi.tif	CTN015_Day6_20.tif
CTN0015_Day6-001_Position(35).zvi.tif	CTN015_Day6_21.tif
CTN0015_Day6-001_Position(36).zvi.tif	CTN015_Day6_22.tif
CTN0015_Day6-001_Position(37).zvi.tif	CTN015_Day6_23.tif
CTN0015_Day6-001_Position(38).zvi.tif	CTN015_Day6_24.tif
CTN0015_Day6-001_Position(39).zvi.tif	CTN015_Day6_25.tif
CTN0015_Day6-001_Position(40).zvi.tif	CTN015_Day6_26.tif
CTN0015_Day6-001_Position(41).zvi.tif	CTN015_Day6_27.tif
CTN0015_Day6-001_Position(42).zvi.tif	CTN015_Day6_28.tif
CTN0015_Day6-001_Position(43).zvi.tif	CTN015_Day6_29.tif
CTN0015_Day6-001_Position(44).zvi.tif	CTN015_Day6_30.tif
CTN0015_Day6-001_Position(45).zvi.tif	CTN015_Day6_31.tif
CTN002_Day6_B1-018_AB01_01.zvi.tif	CTN002_Day6_01.tif
CTN002_Day6_B1-018_AB01_02.zvi.tif	CTN002_Day6_02.tif
CTN002_Day6_B1-018_AB01_03.zvi.tif	CTN002_Day6_03.tif
CTN002_Day6_B1-018_AB01_04.zvi.tif	CTN002_Day6_04.tif
CTN002_Day6_B1-018_AB01_05.zvi.tif	CTN002_Day6_05.tif
CTN002_Day6_B1-018_AB01_06.zvi.tif	CTN002_Day6_06.tif
